regime,pair,component,n,q1_response_factor,median_response_factor,q3_response_factor,mean_response_factor,single_component_reference
high_binary_21,DQ-TBZ,DQ,7,0.008552597660047529,0.013280383258783448,0.10954349072073713,0.20475870147036807,1
high_binary_21,DQ-TBZ,TBZ,7,0.018529621116728224,0.04954412207723892,0.0846671250977595,0.05266651448230291,1
high_binary_21,DQ-THI,DQ,7,0.0046176553344122575,0.007391938197569575,0.009631048121230017,0.024311920239619287,1
high_binary_21,DQ-THI,THI,7,0.2505979384250834,0.4,0.9216217581969086,0.7063484847491406,1
high_binary_21,TBZ-THI,TBZ,7,0.013002494194818146,0.018652426622846947,0.020410944035078656,0.017365144991312895,1
high_binary_21,TBZ-THI,THI,7,0.10170704503424038,0.13519003671323065,0.30000000000000004,0.3265188085511412,1
low_ternary_64,DQ-TBZ-THI,DQ,64,0.12724264359226145,0.32305306911184517,0.5771738390113821,0.5063222265596712,1
low_ternary_64,DQ-TBZ-THI,TBZ,64,0.14035579853257182,0.20317304533325542,0.3622377206294105,0.2496492256534837,1
low_ternary_64,DQ-TBZ-THI,THI,64,0.4280043685605191,0.7617311057332552,1.2176283119779685,1.0360959667435823,1
