DQ_uM,THI3_TBZ3,THI3_TBZ6,THI3_TBZ12,THI3_TBZ24,THI6_TBZ3,THI6_TBZ6,THI6_TBZ12,THI6_TBZ24,THI12_TBZ3,THI12_TBZ6,THI12_TBZ12,THI12_TBZ24,THI24_TBZ3,THI24_TBZ6,THI24_TBZ12,THI24_TBZ24
3,0.3035,0.2967,0.5317,0.8204,0.3264,0.787,0.5162,0.6025,0.7515,0.5205,0.6592,0.617,0.3882,0.7702,0.8645,0.4324
6,0.6676,0.6775,0.6377,0.8295,0.8478,0.8401,0.7777,0.4013,0.762,0.5882,0.7232,0.8008,0.5859,0.8061,0.637,0.4065
12,0.561,0.7081,0.8735,0.8378,0.6891,0.9277,0.8575,0.6034,0.797,0.8011,0.8872,0.6433,0.6527,0.6871,0.5941,0.8643
24,0.6476,0.6648,0.7891,0.849,0.7356,0.7112,0.8082,0.7401,0.5442,0.8638,0.653,0.6247,0.7068,0.7972,0.4946,0.5838
