variant,subset,rmse_uM,mae_uM,rmse_log10,within_2x_pct,maps_gt3x,worst_fold_max
base,grid64,7.4962478835755455,5.00747635640615,0.2626978061529275,78.125,13,7.255328441723712
base,binary,223.615646525914,153.92385438992466,0.6560050863254916,42.857142857142854,12,77.35565162874693
base,all_no100,103.85382818613535,38.0188027295025,0.40077744412633587,70.32520325203252,29,77.35565162874693
clip1,grid64,7.414451233081468,4.9814095044334366,0.2611132844610093,78.64583333333334,13,7.255328441723712
clip1,binary,229.9269419627938,161.69435894949217,0.8634867167503707,26.190476190476193,18,113.58544263051851
clip1,all_no100,108.1947092170412,40.23548361654668,0.5057818513824591,67.07317073170732,35,113.58544263051851
clip07,grid64,7.310286115112573,5.000481457537621,0.25962491513097635,78.125,11,7.255328441723712
clip07,binary,230.29983267842428,167.16274555359865,1.033964335459299,21.428571428571427,19,226.63275523138245
clip07,all_no100,108.5381565751921,41.27964058467172,0.5790722770935351,65.85365853658537,34,226.63275523138245
ens,grid64,7.34303670906119,4.872503781346289,0.25970304192580235,79.16666666666666,15,7.141508121486995
ens,binary,214.44481444938768,148.81873264437849,0.6544147148341822,42.857142857142854,11,65.57076231354247
ens,all_no100,100.34579097280093,37.024932897447826,0.3963873473318414,71.13821138211382,30,65.57076231354247
ens_clip1,grid64,7.345188322499975,4.8955594365569715,0.2600375268347036,79.16666666666666,15,7.141508121486995
ens_clip1,binary,220.71464616525515,154.94966031646416,0.8587420901452263,28.57142857142857,18,113.58544263051851
ens_clip1,all_no100,104.70540232080167,38.972955626411796,0.5022497869778906,67.88617886178862,37,113.58544263051851
