variant,subset,rmse_uM,mae_uM,rmse_log10,within_2x_pct,allcomp_within_2x_pct,maps_gt3x
neural,grid64,7.4962478835755455,5.00747635640615,0.2626978061529275,78.125,51.5625,13
neural,binary,223.615646525914,153.92385438992466,0.6560050863254916,42.857142857142854,14.285714285714285,12
neural,all_no100,103.85382818613535,38.0188027295025,0.40077744412633587,70.32520325203252,40.44943820224719,29
hgb,grid64,7.095746336805044,5.0145395448019725,0.27192648974879013,79.6875,56.25,12
hgb,binary,238.88338083819662,176.97584863841752,0.739498612261411,28.57142857142857,9.523809523809524,14
hgb,all_no100,110.38222122950286,42.616604700650406,0.4391715354820808,69.10569105691057,42.69662921348314,30
rf,grid64,8.043213605590704,5.1127226346000425,0.25884092785323737,78.125,51.5625,13
rf,binary,239.67899758670464,160.95462633973924,0.6716547713939787,52.38095238095239,38.095238095238095,10
rf,all_no100,110.96373060213249,40.23804854163163,0.41757917821430274,71.95121951219512,46.06741573033708,27
gp,grid64,7.040322477978439,4.8981304327052575,0.27607162798925555,77.60416666666666,45.3125,16
gp,binary,224.62216159956907,155.85229399174764,0.6817356983341369,35.714285714285715,14.285714285714285,13
gp,all_no100,104.55939551952987,38.7064589671182,0.4190744107934372,68.69918699186992,35.95505617977528,33
stack,grid64,6.7383062595393906,4.76241518796924,0.253698370475629,77.60416666666666,53.125,11
stack,binary,223.8344393120031,160.52847273941492,0.6769396064277421,42.857142857142854,19.047619047619047,14
stack,all_no100,104.16503975034983,38.980845207611836,0.4066856054737093,69.91869918699187,42.69662921348314,29
ktotal,grid64,4.523308288161284,3.2218451338760103,0.1989173823401204,87.5,67.1875,6
ktotal,binary,138.08625511144683,105.72365493991113,0.47383730282304304,52.38095238095239,28.57142857142857,6
ktotal,all_no100,76.35900708640689,29.718958690207987,0.2906487511677931,78.86178861788618,55.0561797752809,14
