raman_shift_cm-1,DQ12_TBZ6_THI3_raw_l2_sg11_mean,DQ12_TBZ6_THI3_raw_l2_sg11_std,DQ12_TBZ6_THI3_preprocessed_sg11_mean,DQ12_TBZ6_THI3_preprocessed_sg11_std,DQ24_TBZ12_THI6_raw_l2_sg11_mean,DQ24_TBZ12_THI6_raw_l2_sg11_std,DQ24_TBZ12_THI6_preprocessed_sg11_mean,DQ24_TBZ12_THI6_preprocessed_sg11_std
100.0,-0.0002702115133923282,0.0007714932151669559,0.00022607082545243843,0.000787658691908762,0.0006416011050083371,0.00030344350418430696,0.0011905353180422875,0.0002695301367804572
101.55,-0.0004703677532692449,0.0006306222705758595,-0.0007229745373820752,0.0005545500189813028,-0.0011236803234698353,0.00022248190286808874,-0.0012032375885885408,0.00020532733709711232
103.1,0.0009210575395816303,0.0012395872131451423,-9.006161790956456e-05,0.0010925678481751237,-0.0006175245880492188,0.0004595832874689857,-0.001540742062039145,0.00033451168825642257
104.65,0.0036118143581805096,0.001667483667548555,0.0018888778127747732,0.0014672054220826666,0.0017419124891114132,0.0006207931371570753,-0.00013339981986902082,0.00037825442111330705
106.2,0.0073096526955475985,0.0022360333878935815,0.0049779119835757415,0.002075504503087431,0.005536475085853289,0.000857423027703212,0.002707367420362337,0.0006170599362734766
107.75,0.011722322544703158,0.0030017638422903167,0.008941109123398188,0.0029319919509881915,0.010348007380017697,0.0011983455963071542,0.006670137941095476,0.0010305654818741573
109.3,0.016536127920491087,0.003620998747681993,0.013566553830341537,0.0035553172562444377,0.015545047486696086,0.0015355160541677376,0.011323576872543404,0.0014140959533228254
110.85,0.021484890209310614,0.004148495177478459,0.018637643593156138,0.004119289013484922,0.02103123611453358,0.001841740724460581,0.01659778670473456,0.0017836066814917284
112.4,0.02616136689409467,0.004538849302767327,0.023821732797578404,0.004588279961610197,0.026143633195009647,0.002063774521687053,0.021910245046380155,0.002083678350899433
113.95,0.029784786855977234,0.004924626180193799,0.028125540439817666,0.0050384990485285,0.030659681731869105,0.0021995429328688578,0.027092564705342003,0.002281406556304359
115.5,0.03364789922651106,0.005325704232119829,0.03240111105757571,0.005481411557579318,0.034863261368722004,0.0022927448020913775,0.03160045074817215,0.0023766223071447303
117.05,0.037971104766228066,0.0056162779635162766,0.037187447643586946,0.005807540761052446,0.0387641421936771,0.0023158885338940734,0.035735619652492515,0.0024148844701076073
118.6,0.04161621659700214,0.005919229119317481,0.041220607523991884,0.006131146058944956,0.04223408513691612,0.00236847693547126,0.039403914505670753,0.002480868380664651
120.15,0.0446892880652911,0.006119502466560673,0.04461259722170266,0.006349807477702986,0.04552107610159035,0.0024412773087236516,0.04287528732842159,0.0025629545226162156
121.7,0.048386909158243056,0.006230729828573657,0.04870675724166097,0.006463487947906605,0.048886307373454924,0.0025307268934125046,0.04643426964771615,0.002663018233246
123.25,0.05245093146533869,0.00622420972874585,0.05321286971603395,0.0064374912480202615,0.05221434566241794,0.0026747585933461914,0.04995578788695983,0.0028282123692105242
124.8,0.05583733317073302,0.0063346697932899695,0.05696041356933846,0.006538603915005969,0.05552810088596161,0.002890801877184784,0.05346487050605348,0.0030798097420253992
126.35,0.058487093835641185,0.006486919058865385,0.05988485356528747,0.006689057411240473,0.05870489833853537,0.0031381793426947663,0.0568281021626264,0.0033704985065755315
127.9,0.061906666987057185,0.0064917881561971915,0.06367559345210466,0.006673358845663972,0.0616254506892467,0.0033781206418230726,0.05991596502775672,0.003652192573189572
129.45,0.06494040699561433,0.006605674058236019,0.06703569374266703,0.006782002071548599,0.0644750455198504,0.0036633829754915332,0.06292995062720114,0.0039797808420115165
