raman_shift_cm-1,measured_raw,preprocessed,dominant_component_fit,residual
100.0,-846.8365316986365,0.0,0.0,0.0
101.55,-589.5521488208531,0.0,0.0,0.0
103.1,-376.3288193514977,0.0,0.0,0.0
104.65,-154.2836877439418,0.0,0.0,0.0
106.2,179.38024788040713,0.004745379571641188,0.0013965033170528368,0.003348876254588351
107.75,486.54433404599814,0.009776445830471823,0.003571290247675891,0.006205155582795932
109.3,774.9845500473656,0.014482881515077603,0.005760147596128325,0.008722733918949278
110.85,1036.1860735005976,0.01871683052289905,0.008127369405669008,0.010589461117230043
112.4,1252.501019883437,0.022171584249390627,0.010180849067986636,0.011990735181403991
113.95,1481.0590103258191,0.02584103495000553,0.012134817342318712,0.013706217607686819
115.5,1781.2244590793407,0.030757942347356376,0.014092862406030165,0.01666507994132621
117.05,2048.1259797591556,0.03509851562365603,0.015863276810975845,0.01923523881268019
118.6,2280.2296415935425,0.038836305900822904,0.01768519637475868,0.021151109526064225
120.15,2453.4875014946647,0.04155327530456578,0.01973554281908626,0.021817732485479524
121.7,2624.327860099059,0.044231102775193175,0.02143922131795952,0.022791881457233654
123.25,2789.3863295725655,0.04681149080546632,0.022803702798426778,0.024007788007039545
124.8,2944.132356437832,0.049215854383808766,0.023653277297873334,0.025562577085935432
126.35,3100.871550831348,0.05165843466543803,0.02488303546969577,0.026775399195742258
127.9,3231.785629635011,0.05365559430933996,0.025826074774818915,0.027829519534521042
129.45,3319.064685341111,0.05489776616119831,0.026206530827190162,0.02869123533400815
131.0,3404.9246632552226,0.05611940541320914,0.026538917246440728,0.02958048816676841
132.55,3464.773827465883,0.05689297793414604,0.026711307483538605,0.030181670450607438
134.1,3487.4577394264265,0.0570246584582996,0.026580819206221188,0.03044383925207841
135.65,3489.390286100776,0.05680011102256209,0.02635032182563869,0.030449789196923403
137.2,3491.102049742557,0.056576595509079286,0.025900075038547733,0.030676520470531553
138.75,3492.9734190715903,0.056360894457078585,0.02534690714627223,0.031013987310806356
140.3,3497.78544522165,0.05620153939166936,0.025167065385499586,0.031034474006169772
141.85,3455.0967229586518,0.0552213597436236,0.024716365152586985,0.030504994591036613
143.4,3353.5361392255395,0.05322272764881908,0.023895236111241013,0.029327491537578066
144.95,3260.362451731907,0.05137561651422973,0.02329404864886325,0.028081567865366478
146.5,3175.6734789971883,0.049681866386436235,0.022399539104848053,0.027282327281588182
148.05,3094.934282392189,0.04806273477955564,0.02148352120751916,0.026579213572036478
149.6,2893.488466539916,0.04435020563638461,0.020801968573120454,0.023548237063264154
151.15,2825.155048332984,0.042959068669688204,0.020624366915539812,0.02233470175414839
152.7,2870.160934133839,0.04354553044803078,0.020831808012437635,0.022713722435593144
154.25,2856.15991656446,0.043112094022875906,0.021403721228830105,0.0217083727940458
155.8,2863.6022355658556,0.043058138504233824,0.022250324916729916,0.020807813587503908
157.35,2904.927433501205,0.04360013083269559,0.023343825141382356,0.02025630569131323
158.9,3082.3699330444374,0.04651633308532526,0.025174120009581313,0.021342213075743948
160.45,3269.5386666421214,0.049608527239198785,0.02735065080833472,0.022257876430864066
162.0,3468.236586693577,0.05290816505302104,0.029704444672105767,0.023203720380915272
163.55,3698.571832623489,0.05676507484916133,0.03194183657276424,0.02482323827639709
165.1,3955.673591781413,0.06109462155549394,0.03481182074849715,0.026282800806996784
166.65,4244.901127263782,0.06599009579921393,0.03820366443427089,0.02778643136494304
168.2,4612.862448186169,0.07226222020036903,0.04247826794268564,0.02978395225768339
169.75,4992.369198792058,0.07874245429481183,0.046631008407576,0.03211144588723583
171.3,5364.827830285194,0.08510745829429307,0.05063412565641608,0.03447333263787699
172.85,5698.852294829074,0.09081138501521649,0.05430984213310779,0.036501542882108697
174.4,5969.204972111776,0.09541531816385615,0.058598768316665203,0.036816549847190946
175.95,6213.371577420963,0.0995712773080748,0.06285320571659556,0.036718071591479245
177.5,6442.215937150941,0.10346823882370594,0.06650253292284156,0.036965705900864385
179.05,6642.455204804024,0.10687518683062838,0.07036693903520005,0.03650824779542833
180.6,6826.967500243683,0.11001611194173412,0.07444636618610458,0.035569745755629545
182.15,6991.358380428323,0.11281457295572814,0.07885988094174277,0.03395469201398536
183.7,7108.159461582643,0.1147927933665308,0.08264942375812274,0.03214336960840805
185.25,7162.865521815214,0.11569845324101324,0.08589728478388063,0.029801168457132612
186.8,7146.083889429805,0.11536814358657446,0.08839752355132431,0.02697062003525015
188.35,7138.944727307,0.11521290456800605,0.09080224672853938,0.024410657839466665
189.9,7115.765975113456,0.1147859832775491,0.09291329830680464,0.02187268497074446
191.45,7063.597004006496,0.11386205266134576,0.09393851377300225,0.019923538888343514
193.0,6830.064663268022,0.10979080278374054,0.09421734850312122,0.01557345428061932
194.55,6580.147208611249,0.10544159504707866,0.09365177159172831,0.011789823455350346
196.1,6345.702948538747,0.10136842894825435,0.09234168789041768,0.00902674105783667
197.65,5911.7862928043,0.09383264122991918,0.08888210149996052,0.004950539729958653
199.2,5552.017066083725,0.08759316092137495,0.08474002354154958,0.002853137379825371
200.75,5266.239163538703,0.08264713180185007,0.08002246698944628,0.002624664812403796
202.3,4800.032586155021,0.07456928522254713,0.0750980898183909,0.0
203.85,4433.620574090198,0.06823337679687919,0.06992984958418823,0.0
205.4,4138.210728823969,0.06313845569543416,0.06446192557577081,0.0
206.95,3700.472511347686,0.05557389837027971,0.0577506699192889,0.0
208.5,3267.7479179901957,0.04810224067453069,0.05142783287882528,0.0
210.05,2872.0122741115383,0.04127944413569246,0.04549888601458926,0.0
211.6,2716.612187904546,0.03864212063786658,0.040496547979962515,0.0
213.15,2282.3352513837563,0.031159432392639023,0.034131353765724085,0.0
214.7,1947.1467630877191,0.02540512051237347,0.028141504127566448,0.0
216.25,1928.010848266344,0.02515263480579472,0.026165060488857524,0.0
217.8,1724.8393704844898,0.021703755798928144,0.023182156722788904,0.0
219.35,1483.8269300710162,0.01760103619196783,0.019675380778417677,0.0
220.9,1332.897094475305,0.015069239032167362,0.016053008014329843,0.0
222.45,1105.604631227371,0.011213178612486023,0.013109195847587119,0.0
224.0,899.640758810503,0.007731784447650698,0.010565131591231094,0.0
225.55,814.3895370503617,0.006353428465659986,0.008467404151399172,0.0
227.1,713.7556769390277,0.004710797140808434,0.006964678731196599,0.0
228.65,648.7694841223076,0.003691245713648445,0.005499492169449757,0.0
230.2,657.1884726616381,0.003951275719901271,0.003802338123716946,0.00014893759618432503
231.75,525.4619939799941,0.0017763936002659667,0.002513253509833132,0.0
233.3,436.7985612150435,0.0003529246379342335,0.0015855075257246473,0.0
234.85,456.0884681687397,0.0008092889851759404,0.0010645785927877276,0.0
236.4,377.2284045152425,0.0,0.0,0.0
237.95,313.76163158346895,0.0,0.0,0.0
239.5,294.72360127563195,0.0,0.0,0.0
241.05,301.4233326874845,0.0,0.0,0.0
242.6,264.3297364407433,0.0,0.0,0.0
244.15,200.804736085405,0.0,0.0,0.0
245.7,251.8535017889119,0.0,0.0,0.0
247.25,253.9840801520137,0.0,0.0,0.0
248.8,228.11296947822063,0.0,0.0,0.0
250.35,267.3132900614977,0.0,0.0,0.0
251.9,309.3185169593625,0.0,0.0,0.0
253.45,359.57246155785907,0.0006836598973849923,0.0,0.0006836598973849923
255.0,471.40947420406246,0.0027628059829185128,0.0,0.0027628059829185128
256.55,609.6128435470251,0.0053008931682230935,0.0,0.0053008931682230935
258.1,723.2695054918009,0.007412342218919648,0.00024224959937188534,0.007170092619547762
259.65,743.5741227420489,0.00790037364277713,0.0006381092109887877,0.007262264431788343
261.2,821.2646776890595,0.009386717048532387,0.0012521084513206543,0.008134608597211733
