raman_shift_cm-1,DQ12_TBZ6_THI3_raw_l2_mean,DQ12_TBZ6_THI3_raw_l2_std,DQ12_TBZ6_THI3_preprocessed_mean,DQ12_TBZ6_THI3_preprocessed_std,DQ24_TBZ12_THI6_raw_l2_mean,DQ24_TBZ12_THI6_raw_l2_std,DQ24_TBZ12_THI6_preprocessed_mean,DQ24_TBZ12_THI6_preprocessed_std
100.0,1.0775700846674433e-05,0.00010775700846674455,0.0,0.0,0.0,0.0,0.0,0.0
101.55,5.3337513274264136e-05,0.00035692156374054617,0.0,0.0,0.0,0.0,0.0,0.0
103.1,4.873274259883996e-05,0.00029892642114553314,0.0,0.0,0.0,0.0,0.0,0.0
104.65,0.001076290398134375,0.0016599065523088927,3.7752602665598416e-05,0.0002876432541502314,0.00029232808324521406,0.0005382102160519073,0.0,0.0
106.2,0.00909029301979613,0.0034709444787263577,0.005315700558740062,0.003465889868265666,0.00517484894730218,0.0014303907615771697,0.0005205569864124239,0.0007219551320480356
107.75,0.014149706287699215,0.003790945508879752,0.010847705393402905,0.00390044095683063,0.010743906877766173,0.0014323912081658625,0.005926418188583282,0.0013602502623659765
109.3,0.017217453075106654,0.004584770007114312,0.014252187171402395,0.004688869454772877,0.01623630867154387,0.0017129332226903532,0.011785732337043308,0.001724714992917774
110.85,0.01888081526409122,0.005029748885438004,0.01603050184645808,0.005294288061352292,0.021468127781224592,0.0019527562163798627,0.01736217046289367,0.0019771691502734005
112.4,0.025484411440051778,0.004636457886880846,0.023370969105233314,0.004779654930529668,0.026514362704189012,0.0022100038130397287,0.022739008812624,0.0022628951900373947
113.95,0.032031929873496845,0.005004891833315253,0.030647974473962808,0.005139530923054615,0.03120963123222119,0.0024897628472424576,0.027735771111734343,0.0025838351418526954
115.5,0.03414378544111316,0.005790454667478176,0.032952125091457674,0.0059823410322941955,0.0351233300222056,0.002515268249463427,0.03188384541458247,0.002626900714457122
117.05,0.037809640805584785,0.005730030956443215,0.03700788325543223,0.00593478101488376,0.038076910982313646,0.0023825317139722605,0.0349887701161355,0.002493177312986715
118.6,0.04131618409682363,0.006127273251753974,0.040886323674667276,0.006428675810040335,0.04145990641092144,0.002399725593674688,0.03856235082914988,0.002523502285030352
120.15,0.04351681615543957,0.006984706931973721,0.043296873950300345,0.00737129138245303,0.04639476222451605,0.002636178599324785,0.04382552978625259,0.0027854974906430657
121.7,0.048911288699806675,0.00640272495320954,0.0492953287571991,0.0066763260370138675,0.049372625106758286,0.0026183090160432805,0.04696253236017211,0.002771901538078957
123.25,0.053084616590264685,0.006431282329908341,0.05392562568817751,0.0067064534966622584,0.051933285455996445,0.0027673006096503978,0.04964906355010727,0.002933348601973451
124.8,0.05356184406410227,0.006858255890284766,0.05440984232921159,0.007171077506233011,0.05449600432991976,0.003189686066415866,0.05234201415105307,0.003381842934636327
126.35,0.060078915538571066,0.006577071359857367,0.06166899287954057,0.00677977133890607,0.05866332326588112,0.003185904512479931,0.05678319317361817,0.003411856953130844
127.9,0.06451972300419648,0.006745175203244326,0.06660313554874367,0.006952746028360078,0.06218940657649598,0.003454961309637693,0.06052996611553172,0.0037461505390547324
129.45,0.06383732052345509,0.00726819288982851,0.06579621225710998,0.007609516232818584,0.0642024952644279,0.003816589590415211,0.06263426815475368,0.004170000080546937
131.0,0.06448211681901599,0.007133351850681401,0.06648431452048052,0.007403680171982236,0.06702015096645686,0.004072026327370067,0.06561578607519034,0.004450812454445603
132.55,0.0683301208603329,0.007313586412437407,0.07076523007052478,0.007593221026535404,0.06911987429484177,0.0042827768365295915,0.067820566370161,0.004677873618642511
134.1,0.07641875473641853,0.007111873175680634,0.07979974263503417,0.007351006056833879,0.06999819484395875,0.004460835997541205,0.06870169003967122,0.00486441149826227
135.65,0.07338627214521844,0.007341572522476941,0.07636637113041511,0.007588870719371393,0.07037075778133565,0.00453533500078617,0.06903598889872473,0.004956484448219625
137.2,0.07264008152201287,0.007509394894260045,0.07550209275508395,0.007791192145339699,0.07016493513221084,0.004669125730127579,0.06874558140862329,0.005122376426148455
138.75,0.07586683214682231,0.007383396438047887,0.07910168893832764,0.00770169898431975,0.06941719427202134,0.004764674326795183,0.0678696067300286,0.0052510986510076905
140.3,0.0769109787392115,0.006469667471858677,0.0802481488646386,0.0065999105405991,0.06955407306178996,0.0048891560303153695,0.06796124989847412,0.00539762978404325
