file,DQ_uM,TBZ_uM,THI_uM,true_DQ_pct,true_TBZ_pct,true_THI_pct,nnls_DQ_pct,nnls_TBZ_pct,nnls_THI_pct,THI_overestimate_pct_point,composition_error_pct
DQ24-TB3-TH12.csv,24,3,12,61.53846153846154,7.6923076923076925,30.76923076923077,19.071179705167538,9.843881051630314,71.08493924311347,40.315708473882694,42.46728183324966
DQ24-TB12-TH12.csv,24,12,12,50.0,25.0,25.0,34.363899545740566,14.47155271562201,51.16454773855224,26.164547738552237,26.16454773859483
DQ24-TB24-TH12.csv,24,24,12,40.0,40.0,20.0,34.38940947969383,22.13004594627147,43.480544573951065,23.48054457395106,23.48054457399288
DQ24-TB6-TH24.csv,24,6,24,44.44444444444444,11.11111111111111,44.44444444444444,27.231881504911183,9.269284815130414,63.498833679871694,19.054389235427248,19.0543892354706
DQ24-TB3-TH6.csv,24,3,6,72.72727272727273,9.090909090909092,18.181818181818183,48.57231914760421,14.958840921682604,36.46883993062654,18.287021748808357,24.154953579625197
DQ24-TB24-TH24.csv,24,24,24,33.33333333333333,33.33333333333333,33.33333333333333,12.287021782783853,36.80753612942161,50.905442087713716,17.572108754380384,21.04631155050907
DQ24-TB3-TH24.csv,24,3,24,47.05882352941176,5.88235294117647,47.05882352941176,26.541977630796353,10.204336650249807,63.253685718866706,16.194862189454938,20.516845898571844
DQ24-TB24-TH6.csv,24,24,6,44.44444444444444,44.44444444444444,11.11111111111111,27.936262854776412,45.61200774316422,26.451729401975545,15.340618290864432,16.50818158962612
DQ6-TB12-TH24.csv,6,12,24,14.285714285714285,28.57142857142857,57.14285714285714,7.823689316985089,21.30217188139389,70.87413880153471,13.731281658677574,13.731281658720725
DQ24-TB6-TH6.csv,24,6,6,66.66666666666666,16.666666666666664,16.666666666666664,42.15849916618469,27.766302507882063,30.075198325847335,13.40853165918067,24.508167500439015
DQ24-TB12-TH24.csv,24,12,24,40.0,20.0,40.0,34.56019559742272,12.841579251979715,52.5982251505129,12.5982251505129,12.598225150555232
DQ12-TB24-TH12.csv,12,24,12,25.0,50.0,25.0,0.0,62.775471663468,37.224528336449545,12.224528336449541,24.99999999995877
