condition,fold,true_DQ_pct,true_TBZ_pct,true_THI_pct,nnls_DQ_pct,nnls_TBZ_pct,nnls_THI_pct,nnls_error_pct,physics_DQ_pct,physics_TBZ_pct,physics_THI_pct,physics_error_pct,rescue_gain_pct_point,eligible_physics_error_lt5
DQ12-TBZ12-THI12,1,33.333336,33.333336,33.333336,17.799466372412514,39.99944605075103,42.2010875767546,15.53386646417452,30.198997,37.207348,32.593655,3.874014377593994,11.659852086580527,True
DQ6-TBZ24-THI6,2,16.666668,66.66667,16.666668,24.66557267542963,56.00800543191228,19.326421892571503,10.658661731416466,18.56275,68.9032,12.534051,4.132615566253662,6.5260461651628034,True
DQ12-TBZ12-THI3,3,44.444447,44.444447,11.111112,39.7879998591242,51.349851148296985,8.862148992486864,6.905406745290635,45.065384,43.198402,11.7362175,1.2460451126098633,5.659361632680771,True
DQ12-TBZ12-THI6,3,40.0,40.0,20.0,38.619389452173394,39.00460098931567,22.376009558424414,2.376010005502513,40.26348,41.762344,17.974178,2.0258216857910156,0.35018831971149744,True
DQ12-TBZ3-THI3,4,66.66667,16.666668,16.666668,37.15347693693027,51.874700550760345,10.971822512210538,35.20803487755385,58.115334,26.438389,15.44628,9.771721839904785,25.436313037649064,False
DQ12-TBZ6-THI3,2,57.14286,28.57143,14.285715,36.046350338556834,57.504616675789954,6.449032985554899,28.93318906234233,50.97453,38.08275,10.942727,9.51131820678711,19.42187085555522,False
DQ24-TBZ3-THI12,2,61.538464,7.692308,30.769232,19.071179705167538,9.843881051630314,71.08493924311347,42.467282263090844,37.174435,22.775286,40.05028,24.364025115966797,18.103257147124047,False
DQ24-TBZ24-THI24,1,33.333336,33.333336,33.333336,12.287021782783853,36.80753612942161,50.905442087713716,21.046311053803695,33.180412,38.50461,28.314983,5.171272277832031,15.875038775971664,False
DQ24-TBZ24-THI12,3,40.0,40.0,20.0,34.38940947969383,22.13004594627147,43.480544573951065,23.480545021027716,43.206825,31.463057,25.330114,8.536941528320312,14.943603492707403,False
DQ24-TBZ12-THI12,1,50.0,25.0,25.0,34.363899545740566,14.47155271562201,51.16454773855224,26.16454773859483,47.680344,15.802428,36.51723,11.517230033874512,14.647317704720319,False
DQ24-TBZ24-THI3,4,47.058823,47.058823,5.882353,28.569739541677407,58.870197132072185,12.560063326162322,18.48908397673358,42.374775,52.872456,4.7527666,5.813633441925049,12.67545053480853,False
