compound,prediction_before,prediction_after,relative_drop_pct
DQ,0.0009109846432693303,0.0008983757579699159,1.384094165864727
TBZ,0.0002969931229017675,0.0002940405101981014,0.9941687116582453
THI,0.00016074339509941638,0.0001524742692708969,5.144302086816809
