raman_shift_cm-1,DQ12_TBZ3_THI3_raw_sg11_mean,DQ12_TBZ3_THI3_raw_sg11_std,DQ12_TBZ3_THI3_preprocessed_sg11_mean,DQ12_TBZ3_THI3_preprocessed_sg11_std,DQ6_TBZ24_THI6_raw_sg11_mean,DQ6_TBZ24_THI6_raw_sg11_std,DQ6_TBZ24_THI6_preprocessed_sg11_mean,DQ6_TBZ24_THI6_preprocessed_sg11_std
100.0,0.0009700160751016544,0.0007393111816407634,0.0015023692406245029,0.0006527242352071511,0.00034807183547207714,0.00032448215712437727,0.0011217305394944112,0.000301583179070491
101.55,-0.0007935373799491315,0.0007147055939625638,-0.0012471736276408992,0.0005838911311180608,-0.0010081001125382086,0.0002911636037453491,-0.0013392476182947472,0.00019976568601190236
103.1,-0.0005312731423275496,0.00127585247492155,-0.0017950062014862652,0.0008502419515435424,6.381840960871204e-05,0.0006114089394910099,-0.001384393132752764,0.0004201491995976073
104.65,0.001397252273842329,0.0016918319772862816,-0.0004925228994694691,0.0009325062168279687,0.0030704477311015183,0.000825403372073162,0.0005596879905611453,0.0006418646658080759
106.2,0.0046324823544364345,0.0023878724625677654,0.0023088818598516166,0.0016634790499615284,0.007518408181128891,0.0010450780631466514,0.004066389746087764,0.0009744508965905104
107.75,0.008814860585330741,0.003392765589510546,0.006257813657919165,0.0028571897252102634,0.012914320088879572,0.001312086546711578,0.008709106128267932,0.001385989437099297
109.3,0.013159686885819293,0.004369125248738415,0.010533146369683562,0.003927022706055154,0.018440141541315187,0.0015776196220396376,0.01375777392056183,0.0017466212272271233
110.85,0.017938806513780558,0.005224737105311799,0.015574959854476942,0.0049285248257146235,0.02402326043330586,0.001791538414188779,0.019256243499970654,0.002051005164332928
112.4,0.02318085267704496,0.005695843910833625,0.02143562747706955,0.0056261170640613655,0.02898440813991771,0.0019149079280629216,0.0246117172938638,0.002248507682343495
113.95,0.028071873920120612,0.0059676513870549775,0.026888134137982172,0.0060980142546371,0.0331483296912624,0.0019626020888496624,0.029440372990245125,0.002312709232644108
115.5,0.03202710950742263,0.006263720068288305,0.03135237251051037,0.006441147964730431,0.03724687883557264,0.002056164803028057,0.03381597113824089,0.00246540105986898
117.05,0.035175958040875394,0.006796744568642854,0.034895600244723754,0.007006796753046208,0.04140929225511694,0.002169782212400419,0.038260738904184355,0.002656591646796031
118.6,0.03896852068609616,0.007180563461621536,0.03913175269242939,0.0074366599859164205,0.0453018096434754,0.002306828755115537,0.042407167704305575,0.0028761696261230337
120.15,0.043348329141144754,0.007257782314516544,0.04402847195403157,0.007519190138111843,0.049120013781654,0.0024414423746025957,0.04647388207307919,0.0030949096052611423
121.7,0.04725398466274267,0.00736794541195703,0.048391144876314456,0.007638676111124858,0.05274304550519702,0.0025537808786853257,0.050326810722129675,0.003282808088110709
123.25,0.05081980222281518,0.00744618107969684,0.05237310486661386,0.007714702359437696,0.05618839971842493,0.0026867444338479177,0.05398465390879621,0.003496163659403033
124.8,0.05353283119656207,0.0076086802693203824,0.05539374289162874,0.007880867285563913,0.05939877925360875,0.002809904919073169,0.0573840160695047,0.00367070226920649
126.35,0.055554445944544256,0.007839746356596433,0.0576338847556275,0.008133459848456146,0.06217296855531859,0.0029087519718409074,0.06030218559857156,0.003795791563752258
127.9,0.057898127553287375,0.007915889938708755,0.06023908952508998,0.008206348381281418,0.06453370639320104,0.002976577637441199,0.0627638641410978,0.0038740309819473412
129.45,0.05970328954840472,0.00806826705657268,0.06224037303106037,0.00836723916718259,0.06662325857354658,0.0030552328369391197,0.0649273056452926,0.003943259429358598
131.0,0.06123504756657175,0.00825744309881713,0.06393546244442627,0.008583471688692808,0.0684919402491032,0.0031918220960842143,0.06684841382971621,0.004066436309760896
