raman_shift_cm-1,observed_normalized,fitted_THI_component,residual_after_THI
400.7,0.0,0.0,0.0
402.25,0.0,0.0,0.0
403.8,0.0,0.0001545039945974034,0.0
405.35,0.000506230980927462,0.0008817663380824959,0.0
406.9,0.001024313057389636,0.0014243804144886524,0.0
408.45,0.0014356158751482357,0.0017936080221863703,0.0
410.0,0.0022573035401959487,0.0025763126264614546,0.0
411.55,0.003204588523035991,0.003444936195676933,0.0
413.1,0.004093559287337026,0.004215088479893524,0.0
414.65,0.005274359512793265,0.00532694752288676,0.0
416.2,0.006476539803974535,0.006435143746833509,4.139605714102625e-05
417.75,0.00784738679123945,0.007696890939457478,0.0001504958517819727
419.3,0.010058166956086084,0.009754658030064702,0.00030350892602138205
420.85,0.012539972265782745,0.012043991638859778,0.0004959806269229667
422.4,0.01498214780145227,0.014255037168549837,0.0007271106329024331
423.95,0.017177154711375407,0.016178732013439712,0.0009984226979356942
425.5,0.019683496312921683,0.018441763575564,0.0012417327373576842
427.05,0.022305089493296112,0.02077021201151535,0.0015348774817807616
428.6,0.025005432828767434,0.023109801172407917,0.0018956316563595171
430.15,0.02807860395083584,0.025753458887825542,0.002325145063010299
431.7,0.031296433729822846,0.028578931826352832,0.0027175019034700147
433.25,0.03457671531784081,0.03151331229954987,0.0030634030182909375
434.8,0.03762060412018862,0.034279607042314884,0.0033409970778737336
436.35,0.04007766577071557,0.03658854363656053,0.0034891221341550455
437.9,0.042244669730917304,0.038657846925861314,0.0035868228050559905
439.45,0.044159438361041435,0.040548974306735944,0.0036104640543054914
441.0,0.044915756779847674,0.041473915956990334,0.0034418408228573394
442.55,0.045563306346792815,0.04232364856698383,0.0032396577798089812
444.1,0.04605821981830375,0.04300098867934029,0.0030572311389634593
445.65,0.045520885958248276,0.042656400461148235,0.0028644854971000416
447.2,0.044062148563131426,0.04145421787656199,0.0026079306865694346
448.75,0.042111444933075746,0.03978902506456842,0.0023224198685073277
450.3,0.03993196381995434,0.037849004835989915,0.0020829589839644266
451.85,0.03732472006489554,0.03552942539689694,0.0017952946679985968
453.4,0.03385183710180366,0.03234712745675579,0.0015047096450478692
454.95,0.028776369395161348,0.02753158219288247,0.0012447872022788783
456.5,0.025634163934693126,0.0245992719314862,0.0010348920032069268
458.05,0.022284014029737974,0.02146125104604816,0.0008227629836898148
459.6,0.018465602925827513,0.01784849516308564,0.0006171077627418718
461.15,0.01599752710636605,0.015461761061284515,0.000535766045081534
462.7,0.013799309046760508,0.013353349457231715,0.0004459595895287931
464.25,0.011627189148719293,0.011286227201510644,0.00034096194720864906
465.8,0.008921149095847819,0.008701925007921696,0.00021922408792612348
467.35,0.007099320411272598,0.006955617645501515,0.00014370276577108272
468.9,0.005561108035454741,0.005453918816492529,0.0001071892189622118
470.45,0.004125038805447856,0.004018647124024914,0.00010639168142294233
472.0,0.003683537733730078,0.0036054927581592585,7.804497557081964e-05
473.55,0.003052212358980339,0.003007971989670911,4.4240369309427735e-05
475.1,0.0021877995098350295,0.002188933313688158,0.0
476.65,0.0012485221323050725,0.0013315960419364658,0.0
478.2,0.000699293484439336,0.000870939479478386,0.0
479.75,0.00017729170271791033,0.00043633925489390096,0.0
481.3,0.0,0.0,0.0
482.85,0.0,0.0,0.0
484.4,0.0,0.0,0.0
485.95,0.0,0.0,0.0
487.5,0.0,0.0,0.0
489.05,0.0,0.0,0.0
490.6,0.0,0.0,0.0
492.15,0.0,0.0,0.0
493.7,0.0,0.0,0.0
495.25,0.0,0.0,0.0
496.8,0.0,0.0,0.0
498.35,0.0,0.0,0.0
499.9,0.0,0.0,0.0
501.45,0.0,0.0,0.0
503.0,0.0,0.0,0.0
504.55,0.0,0.0,0.0
506.1,0.0,0.0,0.0
507.65,0.0,0.0,0.0
509.2,0.0,0.0,0.0
510.75,0.0,0.0006636949647866236,0.0
512.3,0.00028392691631775983,0.001749024905631205,0.0
513.85,0.0005436060199375229,0.0020352760527299015,0.0
515.4,0.0014628761471517952,0.002964766493360373,0.0
516.95,0.002928773397091255,0.004419408771866751,0.0
518.5,0.005044030397807182,0.006478851872819061,0.0
520.05,0.006267111688414044,0.007672873685306622,0.0
521.6,0.0083579333268298,0.009654514119167405,0.0
523.15,0.01158444067645477,0.012680610808165587,0.0
524.7,0.015529614822550197,0.016382471052095973,0.0
526.25,0.01895846367327815,0.01957978631739205,0.0
527.8,0.022720277233794807,0.023110931660701824,0.0
529.35,0.028056319214749933,0.028186996704359424,0.0
530.9,0.03323856260228822,0.03305273921081199,0.00018582339147622806
532.45,0.03864369046682446,0.038197885873951995,0.00044580459287246743
534.0,0.04442735113762057,0.04380461366869171,0.0006227374689288592
535.55,0.05173873699701893,0.05089674874891479,0.0008419882481041432
537.1,0.059519138913421726,0.05840079903245175,0.0011183398809699735
538.65,0.06777088831352983,0.06631527459228397,0.001455613721245863
540.2,0.07657458398720968,0.07478647964071652,0.0017881043464931523
541.75,0.08592138971520662,0.08379605045451025,0.002125339260696371
543.3,0.09547259087878257,0.09300125076275924,0.0024713401160233323
544.85,0.10485796903012785,0.10204277710706633,0.0028151919230615247
546.4,0.11060942654714916,0.10757167795093231,0.0030377485962168466
547.95,0.11494700012895405,0.11172251617813596,0.003224483950818091
549.5,0.11638214928262912,0.11315129360281648,0.0032308556798126414
