condition,total_uM,method,DQ_pct,TBZ_pct,THI_pct,composition_error_pct,rescue_vs_NNLS_pct_point,held_out_fold
DQ12-TBZ12-THI12,36,True,33.333336,33.333336,33.333336,0.000000,,1
DQ12-TBZ12-THI12,36,NNLS,17.799466,39.999446,42.201088,15.533866,0.000000,1
DQ12-TBZ12-THI12,36,Physics-guided MLP,30.198997,37.207348,32.593655,3.874014,11.659852,1
