raman_shift_cm-1,measured_raw,preprocessed,dominant_component_fit,residual
100.0,-266.2518124195155,0.0,0.0,0.0
101.55,-137.4856304304019,0.0,0.0,0.0
103.1,-81.25893724292384,0.0,0.0,0.0
104.65,-22.10828956536747,0.0,0.0015085789345549638,0.0
106.2,175.83186959687197,0.009233111212254097,0.004056734306176984,0.0051763769060771125
107.75,292.68791050664043,0.014694767064354583,0.006538911346035806,0.008155855718318778
109.3,370.3839085419468,0.018276290619845707,0.008998116654892818,0.009278173964952889
110.85,422.8913446640165,0.020648973316059065,0.01146423903135939,0.009184734284699675
112.4,564.5796807616128,0.027306569877522634,0.013615720144736127,0.013690849732786507
113.95,703.9559305827058,0.03385454173091824,0.015735158062324082,0.018119383668594155
115.5,759.7325337460779,0.03638854976348261,0.018040504103492706,0.018348045659989903
117.05,842.9295263929221,0.04024145592052788,0.019825351244542485,0.020416104675985394
118.6,923.7592473248417,0.0439826338044795,0.021682764644024164,0.022299869160455333
120.15,982.5653481752825,0.046668095277133045,0.024018760250065888,0.022649335027067157
121.7,1099.305682023791,0.052138665255289325,0.02586063183949129,0.026278033415798034
123.25,1190.8075263701319,0.056399433602462176,0.02744573159400158,0.028953702008460595
124.8,1209.2976105279608,0.05715584407790737,0.028737509304941265,0.028418334772966108
126.35,1346.0093572794153,0.0635936597119872,0.030111155989982014,0.03348250372200519
127.9,1440.7973036665317,0.0680206846683014,0.031210742579982458,0.03680994208831894
129.45,1433.184099018996,0.06753212373006066,0.031870631066533685,0.03566149266352698
131.0,1456.8542043990901,0.06854944374418802,0.033091856531581865,0.035457587212606154
132.55,1542.2260764303426,0.07253387851943796,0.03420567201920721,0.03832820650023075
134.1,1708.385211664256,0.08040229341897773,0.03495683233339656,0.04544546108558117
135.65,1651.2704795834534,0.0775496872321495,0.0349230877020628,0.0426265995300867
137.2,1638.2944762067327,0.07682092654022125,0.034889569832689836,0.04193135670753142
138.75,1702.2227052813823,0.07978995210599758,0.03493077148463502,0.044859180621362564
