method,DQ_pct,TBZ_pct,THI_pct,error_pct
True,57.14285714285714,28.57142857142857,14.285714285714285,0
NNLS,36.046350338556834,57.504616675789954,6.449032985554899,28.93318810441054
MLP_lambda0,51.995678,35.35886,12.645459,6.787434007440293
Physics_MLP_lambda0.03,57.56158,32.45185,9.986573,4.299143808228631
