subset,n_maps,mean_deviation_pp,accuracy_at_10pp,component,mean_recovery_pct,sd_recovery_pct,se_recovery_pct,median_recovery_pct,within_80_120_pct,absent_component_mean_leakage_pct
grid64,64,4.633785235019791,0.984375,DQ,104.01578304680794,20.02348759878488,2.50293594984811,99.8393842527034,0.78125,nan
grid64,64,4.633785235019791,0.984375,TBZ,105.65088603715537,19.456791755913915,2.4320989694892394,100.7910235830973,0.859375,nan
grid64,64,4.633785235019791,0.984375,THI,100.99035900619344,18.68129020620767,2.335161275775959,97.84637401206561,0.75,nan
high_all,34,7.624751157903031,0.7058823529411765,DQ,155.8222669796576,176.26039049028452,35.252078098056906,96.10486402162316,0.68,4.418291925024695
high_all,34,7.624751157903031,0.7058823529411765,TBZ,137.88868621645798,122.20939552721865,24.44187910544373,98.69465756079147,0.68,4.418291925024695
high_all,34,7.624751157903031,0.7058823529411765,THI,152.3719479118515,144.74285353555936,28.948570707111873,100.50346600215391,0.6,4.418291925024695
high_binary_only,27,7.632275864764737,0.7777777777777778,DQ,141.56254267113974,141.05011208884687,33.245830248382084,95.14228649936726,0.7222222222222222,4.418291925024695
high_binary_only,27,7.632275864764737,0.7777777777777778,TBZ,127.13675821325458,69.18754178186173,16.307659989194004,98.84223109537712,0.7777777777777778,4.418291925024695
high_binary_only,27,7.632275864764737,0.7777777777777778,THI,150.40839719907893,157.34389354983685,37.086311369127976,93.23434193320597,0.6666666666666666,4.418291925024695
unified_all,98,5.67146728989765,0.8877551020408163,DQ,118.56816617401287,96.47978644946292,10.226836909989704,99.46885509825277,0.7528089887640449,4.418291925024695
unified_all,98,5.67146728989765,0.8877551020408163,TBZ,114.70644788527412,67.5022378973381,7.155222906686337,99.29189586411485,0.8089887640449438,4.418291925024695
unified_all,98,5.67146728989765,0.8877551020408163,THI,115.42338959767041,80.6409090348514,8.547919261872822,98.05578758413431,0.7078651685393258,4.418291925024695
