map,single_euclidean_uM,neural_euclidean_uM,DQ,TBZ,THI
DQ3-TB3-TH3.csv,10.148563080171572,5.179078421933016,3,3,3
DQ3-TB6-TH3.csv,9.528027674626788,3.5819708524109495,3,6,3
DQ3-TB12-TH3.csv,11.773727711665632,3.519129359701793,3,12,3
DQ3-TB24-TH3.csv,18.151112768088417,7.164459517333002,3,24,3
DQ6-TB3-TH3.csv,9.440497732027763,4.829328480384348,6,3,3
DQ6-TB6-TH3.csv,8.884294409578988,3.4034565726265713,6,6,3
DQ6-TB12-TH3.csv,10.328586163062722,2.9671296683121646,6,12,3
DQ6-TB24-TH3.csv,17.128686477470414,8.853879039773478,6,24,3
DQ12-TB3-TH3.csv,11.996415834432035,4.850388591302365,12,3,3
DQ12-TB6-TH3.csv,11.56149347284759,3.61569641078402,12,6,3
DQ12-TB12-TH3.csv,12.3798405868415,2.067419146743941,12,12,3
DQ12-TB24-TH3.csv,20.374281559253753,8.935399072560958,12,24,3
DQ24-TB3-TH3.csv,14.898155055070907,2.0824638601513685,24,3,3
DQ24-TB6-TH3.csv,14.467716274790554,4.2067610461575935,24,6,3
DQ24-TB12-TH3.csv,14.586097644144912,6.57352937217193,24,12,3
DQ24-TB24-TH3.csv,22.51798727853607,16.72171036251268,24,24,3
DQ3-TB3-TH6.csv,12.15642237877488,4.527247880920542,3,3,6
DQ3-TB6-TH6.csv,9.403911014737398,4.355007049566246,3,6,6
DQ3-TB12-TH6.csv,10.514905670461678,5.651544317809573,3,12,6
DQ3-TB24-TH6.csv,15.0444636274226,7.987541593187625,3,24,6
DQ6-TB3-TH6.csv,7.45211934550927,3.428005150683093,6,3,6
DQ6-TB6-TH6.csv,6.665559875848792,3.990294319146233,6,6,6
DQ6-TB12-TH6.csv,8.132160095717918,3.1662713794130966,6,12,6
DQ6-TB24-TH6.csv,15.472042269615656,7.431134255883716,6,24,6
DQ12-TB3-TH6.csv,10.357492117514317,6.965585908753944,12,3,6
DQ12-TB6-TH6.csv,10.168398065132797,1.8210267787144954,12,6,6
DQ12-TB12-TH6.csv,9.47487038340418,3.8262523494113636,12,12,6
DQ12-TB24-TH6.csv,10.576797238104234,16.627902559363868,12,24,6
DQ24-TB3-TH6.csv,18.628437314243886,4.34652577566045,24,3,6
DQ24-TB6-TH6.csv,16.66076098758013,3.500932820691559,24,6,6
DQ24-TB12-TH6.csv,12.945550343473043,4.703751436443445,24,12,6
DQ24-TB24-TH6.csv,23.255441773815694,10.343487999029575,24,24,6
DQ3-TB3-TH12.csv,10.811324498228274,5.47795283808372,3,3,12
DQ3-TB6-TH12.csv,7.897366081642777,3.6408463443887484,3,6,12
DQ3-TB12-TH12.csv,8.362274413480673,5.47240466089489,3,12,12
DQ3-TB24-TH12.csv,4.874068176581476,4.381957751690425,3,24,12
DQ6-TB3-TH12.csv,4.605740759540059,2.9040188809861553,6,3,12
DQ6-TB6-TH12.csv,5.624162866446703,1.924615333950416,6,6,12
DQ6-TB12-TH12.csv,12.360392340690849,5.012568668265685,6,12,12
DQ6-TB24-TH12.csv,7.84245377553409,4.172918730279802,6,24,12
DQ12-TB3-TH12.csv,8.055263626355506,3.5373675054480938,12,3,12
DQ12-TB6-TH12.csv,8.184087400965812,3.8345546571058566,12,6,12
DQ12-TB12-TH12.csv,10.676261419683335,7.529043274836021,12,12,12
DQ12-TB24-TH12.csv,13.601570912994482,9.832912390117173,12,24,12
DQ24-TB3-TH12.csv,23.535906224018376,13.95600426862311,24,3,12
DQ24-TB6-TH12.csv,11.582878047753976,3.8160537506316756,24,6,12
DQ24-TB12-TH12.csv,19.622693073623182,13.734568313191042,24,12,12
DQ24-TB24-TH12.csv,24.611072528928243,17.65429635451326,24,24,12
DQ3-TB3-TH24.csv,18.588320126686927,4.320620605312138,3,3,24
DQ3-TB6-TH24.csv,3.455785908473081,5.066982136382463,3,6,24
DQ3-TB12-TH24.csv,6.739188839515627,7.826785455996464,3,12,24
DQ3-TB24-TH24.csv,13.844011519515707,9.058371302324378,3,24,24
DQ6-TB3-TH24.csv,4.2217329684682054,4.790250054331227,6,3,24
DQ6-TB6-TH24.csv,7.052736446775664,7.489142312838849,6,6,24
DQ6-TB12-TH24.csv,14.904386411842538,7.911045429939288,6,12,24
DQ6-TB24-TH24.csv,17.26399218124777,15.159567756396447,6,24,24
DQ12-TB3-TH24.csv,11.83287724268561,8.274641603856665,12,3,24
DQ12-TB6-TH24.csv,9.232116004144878,7.122595949390907,12,6,24
DQ12-TB12-TH24.csv,10.052613126873212,6.474823641760935,12,12,24
DQ12-TB24-TH24.csv,16.72940831572572,3.5927500820933527,12,24,24
DQ24-TB3-TH24.csv,19.04892942874936,20.270725492390333,24,3,24
DQ24-TB6-TH24.csv,18.512670635239047,3.5573363598454653,24,6,24
DQ24-TB12-TH24.csv,15.938702637964584,10.83965736947921,24,12,24
DQ24-TB24-TH24.csv,25.3420923536599,12.992225505380759,24,24,24
