method,mae_uM,bootstrap95_low,bootstrap95_high
Single calibration,6.208769641974536,5.547231423111126,6.904488748255595
Linear residual,4.522037148778299,3.6637365892134275,5.567614335322417
Neural residual,3.166050732351266,2.689473733696458,3.6838101938029975
