map,DQ,TBZ,THI,single_calibration_mean_recovery_pct,neural_corrected_mean_recovery_pct
DQ3-TB3-TH3.csv,3,3,3,269.68678237903697,184.92720090258987
DQ3-TB6-TH3.csv,3,6,3,215.20716571686717,140.33936900476382
DQ3-TB12-TH3.csv,3,12,3,257.20493195597936,134.52882630208077
DQ3-TB24-TH3.csv,3,24,3,200.98002581029758,144.01927186857606
DQ6-TB3-TH3.csv,6,3,3,232.82832736786426,135.98829897665277
DQ6-TB6-TH3.csv,6,6,3,195.23471614902186,89.44198719398669
DQ6-TB12-TH3.csv,6,12,3,185.43395676986356,87.0892307438919
DQ6-TB24-TH3.csv,6,24,3,174.86563794367086,85.679511592021
DQ12-TB3-TH3.csv,12,3,3,206.05803825681332,105.00392550381554
DQ12-TB6-TH3.csv,12,6,3,171.97250822198194,74.3077575701547
DQ12-TB12-TH3.csv,12,12,3,158.28707795245512,104.36956939948878
DQ12-TB24-TH3.csv,12,24,3,148.38407227763426,147.05093931346994
DQ24-TB3-TH3.csv,24,3,3,232.54692777424884,126.25237386787006
DQ24-TB6-TH3.csv,24,6,3,190.07327962558134,100.9399012243101
DQ24-TB12-TH3.csv,24,12,3,176.31100672478055,100.53253645598245
DQ24-TB24-TH3.csv,24,24,3,167.01608821084378,101.18121558550183
DQ3-TB3-TH6.csv,3,3,6,263.38086653815316,141.4930134246323
DQ3-TB6-TH6.csv,3,6,6,192.79874825164708,129.83546817157585
DQ3-TB12-TH6.csv,3,12,6,193.29567054671023,131.51714845873468
DQ3-TB24-TH6.csv,3,24,6,143.34718298192715,175.13489139460762
DQ6-TB3-TH6.csv,6,3,6,177.75001192917844,67.26916283811322
DQ6-TB6-TH6.csv,6,6,6,142.75506206299886,73.76912184640368
DQ6-TB12-TH6.csv,6,12,6,118.82862280083282,75.06931140823555
DQ6-TB24-TH6.csv,6,24,6,128.6406374680079,126.80046434135733
DQ12-TB3-TH6.csv,12,3,6,140.29064462578017,80.70409191755436
DQ12-TB6-TH6.csv,12,6,6,114.92044086700214,107.05572682660734
DQ12-TB12-TH6.csv,12,12,6,127.52320357653025,92.68867956783235
DQ12-TB24-TH6.csv,12,24,6,119.14165327042451,91.23148759775036
DQ24-TB3-TH6.csv,24,3,6,163.39353909397536,121.00964506268876
DQ24-TB6-TH6.csv,24,6,6,142.26539201599203,98.22083778829908
DQ24-TB12-TH6.csv,24,12,6,114.281486567306,85.9227555510559
DQ24-TB24-TH6.csv,24,24,6,115.28722551635043,89.41114446924844
DQ3-TB3-TH12.csv,3,3,12,211.83264229921903,184.68747393875756
DQ3-TB6-TH12.csv,3,6,12,161.31978690892927,125.13227560405839
DQ3-TB12-TH12.csv,3,12,12,127.65633123786944,145.33718631928335
DQ3-TB24-TH12.csv,3,24,12,106.8985769344406,149.94301927495266
DQ6-TB3-TH12.csv,6,3,12,146.84575106889397,76.57440559295694
DQ6-TB6-TH12.csv,6,6,12,113.69602858776652,88.54438341439372
DQ6-TB12-TH12.csv,6,12,12,131.52111979802226,108.2774948896324
DQ6-TB24-TH12.csv,6,24,12,102.50196071956425,73.49146127228677
DQ12-TB3-TH12.csv,12,3,12,120.90532566228745,114.71240022708953
DQ12-TB6-TH12.csv,12,6,12,80.95736657296125,82.50689815052331
DQ12-TB12-TH12.csv,12,12,12,90.72028447352561,114.57656336428018
DQ12-TB24-TH12.csv,12,24,12,90.44987339616303,82.99587223463278
DQ24-TB3-TH12.csv,24,3,12,139.21221814701002,125.15656742164693
DQ24-TB6-TH12.csv,24,6,12,97.89604683435262,82.59176859609192
DQ24-TB12-TH12.csv,24,12,12,82.42905272126275,86.17247582124679
DQ24-TB24-TH12.csv,24,24,12,76.01334106796409,70.05315913101622
DQ3-TB3-TH24.csv,3,3,24,166.74621074719218,110.39171355359701
DQ3-TB6-TH24.csv,3,6,24,113.27618245981671,146.91759279189853
DQ3-TB12-TH24.csv,3,12,24,98.86271119009035,174.97015565311312
DQ3-TB24-TH24.csv,3,24,24,90.39247035819308,128.0793910366364
DQ6-TB3-TH24.csv,6,3,24,136.59423919175836,117.24697302906925
DQ6-TB6-TH24.csv,6,6,24,115.81296734784665,127.19163047319557
DQ6-TB12-TH24.csv,6,12,24,94.0488445056286,102.53314968543212
DQ6-TB24-TH24.csv,6,24,24,63.30815655298617,65.36612244304291
DQ12-TB3-TH24.csv,12,3,24,91.4681883464749,108.92110803959649
DQ12-TB6-TH24.csv,12,6,24,67.74943067383833,93.76888387707261
DQ12-TB12-TH24.csv,12,12,24,58.72151056799883,107.50131647787155
DQ12-TB24-TH24.csv,12,24,24,49.63775283192189,93.70168744269203
DQ24-TB3-TH24.csv,24,3,24,98.46208911491495,135.5654820626336
DQ24-TB6-TH24.csv,24,6,24,68.3498311440392,86.69975817743091
DQ24-TB12-TH24.csv,24,12,24,64.31997124494792,72.20604401394779
DQ24-TB24-TH24.csv,24,24,24,48.040138737900996,73.3859170639548
